MBDBG oob bfd=testsuites/sptests/sp69/init.c.740.o relaxsec=.text.Init victimsec=.text.__getreent rtype=5 symidx=81 sh_info=75 addend=0x18 oob_shndx=0 oob_type=0 shndx=5 fixup=0
MBDBG oob bfd=consolesimple.c.59.o relaxsec=.text._Console_simple_Write victimsec=.text._Console_simple_Initialize rtype=3 symidx=27 sh_info=25 addend=0x0 oob_shndx=2 oob_type=3 shndx=4 fixup=0
MBDBG oob bfd=consolesimple.c.59.o relaxsec=.text._Console_simple_Initialize victimsec=.text._Console_simple_Write rtype=4 symidx=25 sh_info=25 addend=0x0 oob_shndx=0 oob_type=0 shndx=7 fixup=0
MBDBG oob bfd=mknod.c.59.o relaxsec=.text.mknod victimsec=.text.rtems_filesystem_mknod rtype=3 symidx=16 sh_info=15 addend=0x0 oob_shndx=1 oob_type=3 shndx=6 fixup=0
MBDBG oob bfd=mknod.c.59.o relaxsec=.text.mknod victimsec=.text.rtems_filesystem_mknod rtype=3 symidx=17 sh_info=15 addend=0x0 oob_shndx=2 oob_type=3 shndx=6 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_continue rtype=5 symidx=27 sh_info=27 addend=0x0 oob_shndx=0 oob_type=0 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_continue rtype=3 symidx=30 sh_info=27 addend=0x0 oob_shndx=3 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_continue rtype=3 symidx=28 sh_info=27 addend=0x0 oob_shndx=1 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_continue rtype=5 symidx=27 sh_info=27 addend=0x0 oob_shndx=0 oob_type=0 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_continue rtype=3 symidx=30 sh_info=27 addend=0x0 oob_shndx=3 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_continue rtype=3 symidx=28 sh_info=27 addend=0x0 oob_shndx=1 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start_with_root_and_current rtype=3 symidx=33 sh_info=27 addend=0x0 oob_shndx=8 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start_with_root_and_current rtype=3 symidx=34 sh_info=27 addend=0x0 oob_shndx=10 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start_with_root_and_current rtype=3 symidx=34 sh_info=27 addend=0x0 oob_shndx=10 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start_with_root_and_current rtype=3 symidx=34 sh_info=27 addend=0x0 oob_shndx=10 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start_with_root_and_current rtype=3 symidx=34 sh_info=27 addend=0x0 oob_shndx=10 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start_with_root_and_current rtype=3 symidx=30 sh_info=27 addend=0x0 oob_shndx=3 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start_with_root_and_current rtype=3 symidx=35 sh_info=27 addend=0x0 oob_shndx=11 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start_with_root_and_current rtype=3 symidx=31 sh_info=27 addend=0x0 oob_shndx=4 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start_with_root_and_current rtype=3 symidx=34 sh_info=27 addend=0x0 oob_shndx=10 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start rtype=3 symidx=37 sh_info=27 addend=0x0 oob_shndx=15 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start rtype=3 symidx=38 sh_info=27 addend=0x0 oob_shndx=17 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start rtype=3 symidx=38 sh_info=27 addend=0x0 oob_shndx=17 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start rtype=3 symidx=32 sh_info=27 addend=0x0 oob_shndx=6 oob_type=3 shndx=5 fixup=0
MBDBG oob bfd=sup_fs_eval_path.c.59.o relaxsec=.text.check_access victimsec=.text.rtems_filesystem_eval_path_start_with_parent rtype=3 symidx=37 sh_info=27 addend=0x0 oob_shndx=15 oob_type=3 shndx=5 fixup=0
